"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.421863718E0,5.650100112E-2,-8.566999808E-3,-1.493790001E-1,1.599369947E-1
1.431684901E0,5.293099955E-2,-8.363000117E-3,-1.519709975E-1,1.611422184E-1
1.441506094E0,5.293099955E-2,-8.363000117E-3,-1.519709975E-1,1.611422184E-1
1.451327515E0,5.269499868E-2,-6.589999888E-3,-1.513590068E-1,1.604049248E-1
1.461148940E0,5.269499868E-2,-6.589999888E-3,-1.513590068E-1,1.604049248E-1
1.470967345E0,4.512999952E-2,-2.543000039E-3,-1.541440040E-1,1.606348582E-1
1.480785770E0,4.512999952E-2,-2.543000039E-3,-1.541440040E-1,1.606348582E-1
1.490605931E0,4.190399870E-2,-8.679999737E-4,-1.571259946E-1,1.626200378E-1
1.500426084E0,4.190399870E-2,-8.679999737E-4,-1.571259946E-1,1.626200378E-1
1.510245577E0,4.135600105E-2,3.113999963E-3,-1.522029936E-1,1.577522332E-1
1.520065118E0,4.135600105E-2,3.113999963E-3,-1.522029936E-1,1.577522332E-1
1.529883910E0,4.465600103E-2,3.743000096E-3,-1.503269970E-1,1.568641913E-1
1.539702679E0,4.465600103E-2,3.743000096E-3,-1.503269970E-1,1.568641913E-1
1.549524129E0,4.289399832E-2,5.683000199E-3,-1.529719979E-1,1.589736573E-1
1.559345550E0,4.289399832E-2,5.683000199E-3,-1.529719979E-1,1.589736573E-1
1.569169084E0,4.061000049E-2,5.262999795E-3,-1.533749998E-1,1.587474783E-1
1.578992623E0,4.061000049E-2,5.262999795E-3,-1.533749998E-1,1.587474783E-1
1.588813259E0,4.107199982E-2,6.155999843E-3,-1.521539986E-1,1.577201471E-1
1.598633876E0,4.107199982E-2,6.155999843E-3,-1.521539986E-1,1.577201471E-1
1.608452639E0,4.341800138E-2,4.695999902E-3,-1.511200070E-1,1.573036293E-1
1.618271410E0,4.341800138E-2,4.695999902E-3,-1.511200070E-1,1.573036293E-1
1.628092456E0,4.071599990E-2,5.547999870E-3,-1.536770016E-1,1.590760628E-1
1.637913493E0,4.071599990E-2,5.547999870E-3,-1.536770016E-1,1.590760628E-1
1.647731678E0,4.299899936E-2,4.546000157E-3,-1.555259973E-1,1.614246446E-1
1.657549873E0,4.299899936E-2,4.546000157E-3,-1.555259973E-1,1.614246446E-1
1.667370022E0,3.478400037E-2,5.106000230E-3,-1.540199965E-1,1.579815092E-1
1.677190137E0,3.478400037E-2,5.106000230E-3,-1.540199965E-1,1.579815092E-1
1.687008774E0,3.332599998E-2,2.440999961E-3,-1.523350030E-1,1.559568335E-1
1.696827429E0,3.332599998E-2,2.440999961E-3,-1.523350030E-1,1.559568335E-1
1.706645602E0,2.925799973E-2,2.655999968E-3,-1.545570046E-1,1.573243546E-1
1.716463757E0,2.925799973E-2,2.655999968E-3,-1.545570046E-1,1.573243546E-1
1.726282344E0,2.739099972E-2,3.804000095E-3,-1.522330046E-1,1.547243516E-1
1.736100921E0,2.739099972E-2,3.804000095E-3,-1.522330046E-1,1.547243516E-1
1.745918481E0,2.612699941E-2,3.911999986E-3,-1.531320065E-1,1.553941288E-1
1.755736022E0,2.612699941E-2,3.911999986E-3,-1.531320065E-1,1.553941288E-1
1.765553748E0,2.516799979E-2,3.479999956E-3,-1.546439976E-1,1.567172760E-1
1.775371477E0,2.516799979E-2,3.479999956E-3,-1.546439976E-1,1.567172760E-1
1.785190871E0,2.036600001E-2,3.261999926E-3,-1.574600041E-1,1.588051243E-1
1.795010256E0,2.036600001E-2,3.261999926E-3,-1.574600041E-1,1.588051243E-1
1.804829592E0,1.717299968E-2,6.641000044E-3,-1.594219953E-1,1.604817353E-1
1.814648939E0,1.717299968E-2,6.641000044E-3,-1.594219953E-1,1.604817353E-1
1.824468978E0,6.320999935E-3,2.290999983E-3,-1.609490067E-1,1.610893742E-1
1.834288977E0,6.320999935E-3,2.290999983E-3,-1.609490067E-1,1.610893742E-1
1.844107597E0,-2.320999978E-3,-4.441999830E-3,-1.587509960E-1,1.588300889E-1
1.853926214E0,-2.320999978E-3,-4.441999830E-3,-1.587509960E-1,1.588300889E-1
